0x00020000; UL; FileMetaInformationGroupLength; File Meta Information Group Length
0x00020001; OB; FileMetaInformationVersion; File Meta Information Version
0x00020002; UI; MediaStorageSOPClassUID; Media Storage SOP Class UID
0x00020003; UI; MediaStorageSOPInstanceUID; Media Storage SOP Instance UID
0x00020010; UI; TransferSyntaxUID; Transfer Syntax UID
0x00020012; UI; ImplementationClassUID; Implementation Class UID
0x00020013; SH; ImplementationVersionName; Implementation Version Name
0x00020016; AE; SourceApplicationEntityTitle; Source Application Entity Title
0x00020017; AE; SendingApplicationEntityTitle; Sending Application Entity Title
0x00020018; AE; ReceivingApplicationEntityTitle; Receiving Application Entity Title
0x00020100; UI; PrivateInformationCreatorUID; Private Information Creator UID
0x00020102; OB; PrivateInformation; Private Information
0x00041130; CS; FileSetID; File-set ID
0x00041141; CS; FileSetDescriptorFileID; File-set Descriptor File ID
0x00041142; CS; SpecificCharacterSetOfFileSetDescriptorFile; Specific Character Set of File-set Descriptor File
0x00041200; UL; OffsetOfTheFirstDirectoryRecordOfTheRootDirectoryEntity; Offset of the First Directory Record of the Root Directory Entity
0x00041202; UL; OffsetOfTheLastDirectoryRecordOfTheRootDirectoryEntity; Offset of the Last Directory Record of the Root Directory Entity
0x00041212; US; FileSetConsistencyFlag; File-set Consistency Flag
0x00041220; SQ; DirectoryRecordSequence; Directory Record Sequence
0x00041400; UL; OffsetOfTheNextDirectoryRecord; Offset of the Next Directory Record
0x00041410; US; RecordInUseFlag; Record In-use Flag
0x00041420; UL; OffsetOfReferencedLowerLevelDirectoryEntity; Offset of Referenced Lower-Level Directory Entity
0x00041430; CS; DirectoryRecordType; Directory Record Type
0x00041432; UI; PrivateRecordUID; Private Record UID
0x00041500; CS; ReferencedFileID; Referenced File ID
0x00041510; UI; ReferencedSOPClassUIDInFile; Referenced SOP Class UID in File
0x00041511; UI; ReferencedSOPInstanceUIDInFile; Referenced SOP Instance UID in File
0x00041512; UI; ReferencedTransferSyntaxUIDInFile; Referenced Transfer Syntax UID in File
0x0004151A; UI; ReferencedRelatedGeneralSOPClassUIDInFile; Referenced Related General SOP Class UID in File
0x00080005; CS; SpecificCharacterSet; Specific Character Set
0x00080006; SQ; LanguageCodeSequence; Language Code Sequence
0x00080008; CS; ImageType; Image Type
0x00080012; DA; InstanceCreationDate; Instance Creation Date
0x00080013; TM; InstanceCreationTime; Instance Creation Time
0x00080014; UI; InstanceCreatorUID; Instance Creator UID
0x00080015; DT; InstanceCoercionDateTime; Instance Coercion DateTime
0x00080016; UI; SOPClassUID; SOP Class UID
0x00080018; UI; SOPInstanceUID; SOP Instance UID
0x0008001A; UI; RelatedGeneralSOPClassUID; Related General SOP Class UID
0x0008001B; UI; OriginalSpecializedSOPClassUID; Original Specialized SOP Class UID
0x00080020; DA; StudyDate; Study Date
0x00080021; DA; SeriesDate; Series Date
0x00080022; DA; AcquisitionDate; Acquisition Date
0x00080023; DA; ContentDate; Content Date
0x0008002A; DT; AcquisitionDateTime; Acquisition DateTime
0x00080030; TM; StudyTime; Study Time
0x00080031; TM; SeriesTime; Series Time
0x00080032; TM; AcquisitionTime; Acquisition Time
0x00080033; TM; ContentTime; Content Time
0x00080050; SH; AccessionNumber; Accession Number
0x00080051; SQ; IssuerOfAccessionNumberSequence; Issuer of Accession Number Sequence
0x00080052; CS; QueryRetrieveLevel; Query/Retrieve Level
0x00080053; CS; QueryRetrieveView; Query/Retrieve View
0x00080054; AE; RetrieveAETitle; Retrieve AE Title
0x00080055; AE; StationAETitle; Station  AE Title
0x00080056; CS; InstanceAvailability; Instance Availability
0x00080058; UI; FailedSOPInstanceUIDList; Failed SOP Instance UID List
0x00080060; CS; Modality; Modality
0x00080061; CS; ModalitiesInStudy; Modalities in Study
0x00080062; UI; SOPClassesInStudy; SOP Classes in Study
0x00080064; CS; ConversionType; Conversion Type
0x00080068; CS; PresentationIntentType; Presentation Intent Type
0x00080070; LO; Manufacturer; Manufacturer
0x00080080; LO; InstitutionName; Institution Name
0x00080081; ST; InstitutionAddress; Institution Address
0x00080082; SQ; InstitutionCodeSequence; Institution Code Sequence
0x00080090; PN; ReferringPhysicianName; Referring Physician's Name
0x00080092; ST; ReferringPhysicianAddress; Referring Physician's Address
0x00080094; SH; ReferringPhysicianTelephoneNumbers; Referring Physician's Telephone Numbers
0x00080096; SQ; ReferringPhysicianIdentificationSequence; Referring Physician Identification Sequence
0x0008009C; PN; ConsultingPhysicianName; Consulting Physician's Name
